Account/Practice,Category,Tier,Assigned PL,Hub Territory,City,State,Zip,2026 Visit-Days,2026 People Touches,Last Visit,Days Since Last,Frequency Status
Pain Clinic of Michigan,Pain Management,T1,Jasmine,Livonia,Farmington Hills,Michigan,48336,1,0,2026-05-20,57,Unknown
PARK PLACE FAMILY PRACTICE AND INTERNAL MEDICINE,Pain Management,T1,Jasmine,Other/Metro,TAYLOR,Michigan,48180,1,4,2026-04-08,99,Unknown
The Joint Chiropractic - DBN Hgts (relocated?),Chiropractic,T1,Jasmine,Other/Metro,Dearborn Heights,Michigan,48127,1,5,2026-02-26,140,Past due
Arthritis Physicians,Pain Management,T1,Coty,Troy,Rochester Hills,Michigan,48307,1,4,2026-03-04,134,Unknown
Beaumont Neurosurgery,Neurosurgery,T1,Coty,Troy,Troy,MI,48085,1,1,2026-06-10,36,Unknown
Beaumont Royal Oak - Physical Medicine & Rehabilitation,PM&R,T1,Coty,Southfield,Royal Oak,MI,480736710,1,2,2026-02-26,140,Unknown
Bodyworks Chiropractic,Chiropractic,T1,Coty,Troy,Troy,Michigan,48083,1,1,2026-05-06,71,Unknown
John L Zinkel MD,Neurosurgery,T1,Coty,Other/Metro,St. Clair Shores,Michigan,48081,1,1,2026-04-01,106,Unknown
Jolly Neurological Clinic,Pain Management,T1,Coty,Other/Metro,Bloomfield Township,Michigan,48302,1,1,2026-06-05,41,Unknown
Macomb Pain Clinic,Pain Management,T1,Coty,Sterling Heights,Clinton Township,Michigan,48038,1,1,2026-03-26,112,Unknown
McLaren Center for Spine & Pain Management,Pain Management,T1,Coty,Sterling Heights,Clinton Township,Michigan,48036,1,0,2026-03-19,119,Unknown
McLaren Oakland Center for Spine & Pain Management,Pain Management,T1,Coty,Other/Metro,City of the Village of Clarkston,Michigan,48346,1,1,2026-03-02,136,Unknown
MEDPRO PRIMARY CARE - Waltz Rd,Pain Management,T1,Coty,Other/Metro,NEW BOSTON,Michigan,48164,1,8,2026-02-17,149,Unknown
MHC Neurology,Neurology,T1,Coty,Other/Metro,Shelby Township,MI,483156024,1,1,2026-04-27,80,Unknown
Michigan Head & Spine Institute - Macomb,Pain Management,T1,Coty,Sterling Heights,Clinton Township,Michigan,48038,1,7,2026-06-16,30,Unknown
Movement Orthopedics Urgent care,Pain Management,T1,Coty,Sterling Heights,Clinton Township,Michigan,48038,1,0,2026-04-15,92,Unknown
Orthopedic Institute of Michigan,Pain Management,T1,Coty,Livonia,Livonia,Michigan,48152,1,0,2026-06-22,24,Unknown
Precision Interventional Radiology,Spine,T1,Coty,Livonia,FARMINGTON HILLS,Michigan,48334,1,4,2026-03-09,129,Unknown
Premier Surgical Specialists,Pain Management,T1,Coty,Troy,Rochester Hills,Michigan,48307,1,5,2026-02-23,143,Unknown
Pure Healthy Back,Chiropractic,T1,Coty,Livonia,Novi,Michigan,48375,1,0,2026-04-14,93,Unknown
Rochester Neurological & Sleep Center,Neurology,T1,Coty,Troy,Rochester Hills,Michigan,48307,1,2,2026-06-05,41,Unknown
Salta Direct Primary Care - Clarkston,Pain Management,T1,Coty,Other/Metro,City of the Village of Clarkston,Michigan,48346,1,1,2026-03-02,136,Unknown
"Steven Newman MD,",PM&R,T1,Coty,Southfield,Southfield,MI,48034,1,0,2026-02-19,147,Unknown
Trinity Health System Pain Institute,Pain Management,T1,Coty,Other/Metro,Ypsilanti,Michigan,48197,1,4,2026-07-15,1,Unknown
Active Health Chiropractic Clinic,Chiropractic,T1,Sean,Other/Metro,Village of Clarkston,Michigan,48346,1,1,2026-06-02,44,Unknown
Baetens Chiropractic,Chiropractic,T1,Sean,Other/Metro,St. Clair Shores,Michigan,48081,1,2,2026-03-27,111,Unknown
Chiropractic & Integrative Health Specialists,Chiropractic,T1,Sean,Other/Metro,West Bloomfield,Michigan,48322,1,1,2026-05-20,57,Unknown
Clairpointe Family Chiropractic,Chiropractic,T1,Sean,Other/Metro,Grosse Pointe,Michigan,48236,1,2,2026-06-03,43,Unknown
