Company,MMC Company ID,Current PL,Owner Name,MMC Groups,Referral Evidence Band,Match Status,Match Method(s),Matched Referral Source(s),Matched Source Rows,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,First B2B Appointment,Last B2B Appointment,Last Spine Appointment,Prior Visit Before Reference Patient,Latest Visit-to-First-Appt Lag Days,Median Visit-to-First-Appt Lag,Patients 0–30 Days,Patients 31–60 Days,Patients 61–90 Days,Patients 91+ Days,Patients Without Prior MMC Visit,Referral Production Points,Referral Data Cutoff
Internal Medicine Physicians #170,b2c94565-78b1-460d-a80d-4d507a1ddb7d,Kristen,Kristen Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Klausner MD, Mitchell; Moss MD, Barry M",3,0,0,3,3,2026-02-10 00:00:00,2026-06-10 00:00:00,,2026-05-08 00:00:00,33,33,1,1,1,0,0,17,2026-07-10 00:00:00
Corewell Health Farmington hills Hospital family medicine,a2a230c5-b58c-4416-a519-b3d118d15202,Jasmine,Jasmine Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"STONE PA, KERRY L; Valenti DO, Matteo",2,0,0,2,2,2026-02-26 00:00:00,2026-06-18 00:00:00,,2026-05-14 00:00:00,35,29.5,1,1,0,0,0,17,2026-07-10 00:00:00
DEDICATED SENIOR MEDICAL CENTER - Southfield,12deaf83-0f5e-4bd5-bf07-a4026935ffd1,Jasmine,Jasmine Jones,Ortho;Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Azzo MD, Sally; Reddy MD, Vishnuvardhan G",2,0,0,2,2,2026-01-26 00:00:00,2026-06-22 00:00:00,,2026-06-18 00:00:00,4,8,2,0,0,0,0,17,2026-07-10 00:00:00
Michigan Institute for Neurological Disorders (MIND) - Farmington Hills,1962472241,Coty,Coty Oetjens,Neurology;Pain Management;Physical Therapy,Other Patient Referrer,Deterministically matched,Exact provider name,"Feldman MD, Daniel; Singer DO, Daniel",2,0,0,2,2,2026-03-24 00:00:00,2026-05-01 00:00:00,,2026-02-12 00:00:00,78,59,0,1,1,0,0,17,2026-07-10 00:00:00
Academic Internal Medicine (Ascension),97ae4125-fd10-47de-8cae-c053e42232d0,Sean,Sean Sweeney,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Kulairi MD, Zain",1,0,0,1,1,2026-04-16 00:00:00,2026-04-16 00:00:00,,2026-03-17 00:00:00,30,30,1,0,0,0,0,13,2026-07-10 00:00:00
ASCENSION MEDICAL GROUP WEST BLOOMFIELD FAMILY PRACTICE,611f52cc-838d-405e-8988-68708f39608e,Jasmine,Jasmine Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Clary MD, Bethany",1,0,0,1,1,2026-03-03 00:00:00,2026-03-03 00:00:00,,2026-02-23 00:00:00,8,8,1,0,0,0,0,13,2026-07-10 00:00:00
Associates in Internal Medicine - MHP,1639309131,Kristen,Kristen Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Samona MD, tassia",1,0,0,1,1,2026-07-07 00:00:00,2026-07-07 00:00:00,,2026-05-07 00:00:00,61,61,0,0,1,0,0,13,2026-07-10 00:00:00
Beaumont Family Medicine - Sterling Heights,1952519001,Sean,Sean Sweeney,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Eraqi MD, Hany",1,0,0,1,1,2026-04-16 00:00:00,2026-04-16 00:00:00,,2026-04-01 00:00:00,15,15,1,0,0,0,0,13,2026-07-10 00:00:00
BEAUMONT FAMILY MEDICINE GARDEN CITY,796ef668-29ca-4cac-84b8-fd8125eb6bde,Jasmine,Jasmine Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Abdulghani MD, Mariam",1,0,0,1,1,2026-03-30 00:00:00,2026-03-30 00:00:00,,2026-03-03 00:00:00,27,27,1,0,0,0,0,13,2026-07-10 00:00:00
Colleen Kennedy DO,1538140744,Coty,Coty Oetjens,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Kennedy DO, Colleen",1,0,0,1,1,2026-04-16 00:00:00,2026-04-16 00:00:00,,2025-06-09 00:00:00,311,311,0,0,0,1,0,13,2026-07-10 00:00:00
Commerce Internal Medicine,4d1d555f-aa98-48e9-b9a2-d323e87d5745,Kristen,Kristen Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Markowitz, Norman",1,0,0,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,,2025-12-19 00:00:00,19,19,1,0,0,0,0,13,2026-07-10 00:00:00
Corewell Urgent Care - Novi,e996949d-e85c-4588-a081-deb7cdc8510a,Jasmine,Jasmine Jones,Urgent care,Other Patient Referrer,Deterministically matched,Exact company name,Corewell Urgent Care - Novi,1,0,0,1,1,2026-04-22 00:00:00,2026-04-22 00:00:00,,2026-04-01 00:00:00,21,21,1,0,0,0,0,13,2026-07-10 00:00:00
Corewell Urgent Care - Royal Oak,0705419c-d214-479c-befc-96609a540921,Kristen,Kristen Jones,Urgent Cares,Other Patient Referrer,Deterministically matched,Exact company name,Corewell Urgent Care Royal Oak,1,0,0,1,1,2026-06-15 00:00:00,2026-06-15 00:00:00,,2026-05-21 00:00:00,25,25,1,0,0,0,0,13,2026-07-10 00:00:00
Corwell Health - Farmington,7b335c19-3210-419e-888b-e9aabe43f40a,Kristen,Kristen Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Tuxhari DO, Snezhana",1,0,0,1,1,2026-06-12 00:00:00,2026-06-12 00:00:00,,2026-05-11 00:00:00,32,32,0,1,0,0,0,13,2026-07-10 00:00:00
Foot & Ankle Specialists of Southeast Michigan - Warren,c47f040d-217f-4526-bd80-92b1073a4d77,Coty,Coty Oetjens,Podaitry,Other Patient Referrer,Deterministically matched,Exact provider name,"KISSEL DPM, BRIAN",1,0,0,1,1,2026-06-25 00:00:00,2026-06-25 00:00:00,,2026-06-08 00:00:00,17,17,1,0,0,0,0,13,2026-07-10 00:00:00
Frederick Karoub MD PC,1679554562,Coty,Coty Oetjens,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Karoub MD, Carl",1,0,0,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,,2025-09-25 00:00:00,102,102,0,0,0,1,0,13,2026-07-10 00:00:00
Henry Ford Orthopedics & Sports Medicine - Chesterfield,0200933e-44d0-4869-8ddd-cd02b601b866,Kristen,Kristen Jones,Orthopedic Surgery,Other Patient Referrer,Deterministically matched,Exact provider name,"Yokhana MD, Sanar",1,0,0,1,1,2026-04-02 00:00:00,2026-04-02 00:00:00,,2026-03-23 00:00:00,10,10,1,0,0,0,0,13,2026-07-10 00:00:00
HENRY FORD WALK IN CLINIC,13ccca87-4220-4fd6-84c8-1052a336e845,,,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Leff DO , Carrie",1,0,0,1,1,2026-01-29 00:00:00,2026-01-29 00:00:00,,2025-11-25 00:00:00,65,65,0,0,1,0,0,13,2026-07-10 00:00:00
IEP urgent care Southfield,317790ff-8095-48d0-99d4-f53dc94477bb,,,,Other Patient Referrer,Deterministically matched,Exact company name,IEP Urgent Care Southfield,1,0,0,1,1,2026-06-15 00:00:00,2026-06-15 00:00:00,,2024-04-02 00:00:00,804,804,0,0,0,1,0,13,2026-07-10 00:00:00
Integrative Family Medicine Clinic - Domino's Farms (U of M),2ca32d51-676d-49f5-8e79-835774431e9d,Jasmine,Jasmine Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Shumer MD, Gregory",1,0,0,1,1,2026-03-31 00:00:00,2026-03-31 00:00:00,,2026-02-19 00:00:00,40,40,0,1,0,0,0,13,2026-07-10 00:00:00
Internal Medicine Specialists,e37d14fb-2eea-4cb1-8957-ff0081af7ed5,Kristen,Kristen Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"FELDMAN MD, MICHAEL",1,0,0,1,1,2026-05-01 00:00:00,2026-05-01 00:00:00,,2026-02-12 00:00:00,78,78,0,0,1,0,0,13,2026-07-10 00:00:00
Macomb Foot Ankle Wound Care Center,80-982-7525,,,Podaitry,Other Patient Referrer,Deterministically matched,Unique provider first + last,"Coleman, Walter Barry",1,0,0,1,1,2026-03-31 00:00:00,2026-03-31 00:00:00,,2025-08-29 00:00:00,214,214,0,0,0,1,0,13,2026-07-10 00:00:00
Macomb Spine Care,c3d66a4c-f046-43dd-ae93-ae4aabe95524,Kristen,Kristen Jones,Chiropractor,Other Patient Referrer,Deterministically matched,Exact provider name,"Clark, Daniel",1,0,0,1,1,2026-04-17 00:00:00,2026-04-17 00:00:00,,2026-03-24 00:00:00,24,24,1,0,0,0,0,13,2026-07-10 00:00:00
"MEDICAL CENTER PEDIATRICS, PLLC",137b9944-574d-47c1-9f8c-99541123fc30,Kristen,Kristen Jones,Pediatrician,Other Patient Referrer,Deterministically matched,Exact provider name,"LIPPITT MD,  DENISE",1,0,0,1,1,2026-05-07 00:00:00,2026-05-07 00:00:00,,2026-04-27 00:00:00,10,10,1,0,0,0,0,13,2026-07-10 00:00:00
Michigan Head & Spine Institute - Novi,a2352347-063f-4a39-a0c1-25774fd3490b,Coty,Coty Oetjens,Spine,Other Patient Referrer,Deterministically matched,Exact provider name,"Freydl DO, Karl",1,0,0,1,1,2026-04-07 00:00:00,2026-04-07 00:00:00,,2025-03-13 00:00:00,390,390,0,0,0,1,0,13,2026-07-10 00:00:00
Michigan Institute for Neurological Disorders (MIND) - Roseville,7d9074be-0dfe-445c-9ff8-65b5eadde58e,Coty,Coty Oetjens,Neurology;Pain Management;Physical Therapy,Other Patient Referrer,Deterministically matched,Exact provider name,"Vieder DO, Brandon",1,0,0,1,1,2026-01-27 00:00:00,2026-01-27 00:00:00,,2025-11-05 00:00:00,83,83,0,0,1,0,0,13,2026-07-10 00:00:00
Michigan MSK Medicine - Clinton Township,e2e88457-4627-4d77-a90e-00417069f605,Coty,Coty Oetjens,Manual Medicine,Other Patient Referrer,Deterministically matched,Unique provider first + last,"Hickling, David Robert",1,0,0,1,1,2026-07-09 00:00:00,2026-07-09 00:00:00,,2025-05-07 00:00:00,428,428,0,0,0,1,0,13,2026-07-10 00:00:00
Michigan Orthopaedic & Spine Surgeons,0c7e4fda-32b4-4999-afc5-3ead3985f8c9,Coty,Coty Oetjens,Orthopedic Surgery,Other Patient Referrer,Deterministically matched,Exact provider name,"Ahlgren MD, Bradley",1,0,0,1,1,2026-06-03 00:00:00,2026-06-03 00:00:00,,2025-08-18 00:00:00,289,289,0,0,0,1,0,13,2026-07-10 00:00:00
Neurology Consultants of Southfield,1003819897,Coty,Coty Oetjens,Neurology,Other Patient Referrer,Deterministically matched,Exact provider name,"Leuchter MD, William",1,0,0,1,1,2026-07-06 00:00:00,2026-07-06 00:00:00,,2026-05-28 00:00:00,39,39,0,1,0,0,0,13,2026-07-10 00:00:00
Oakland Physicians,b7bb574d-993f-4604-9935-c8ab3a113635,Kristen,Kristen Jones,Pediatrician,Other Patient Referrer,Deterministically matched,Exact provider name,"Rizk MD, Regina",1,0,0,1,1,2026-05-22 00:00:00,2026-05-22 00:00:00,,2026-05-04 00:00:00,18,18,1,0,0,0,0,13,2026-07-10 00:00:00
Park Family Practice - Novi,210797fc-d818-410f-94de-02c502935d29,Jasmine,Jasmine Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Schram PA, Megan",1,0,0,1,1,2026-07-09 00:00:00,2026-07-09 00:00:00,,2026-06-23 00:00:00,16,16,1,0,0,0,0,13,2026-07-10 00:00:00
"PONDURI, KAVITHA, MEDICAL GROUP",b873599c-56bb-4876-b2ec-95215a325efb,Jasmine,Jasmine Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Ponduri MD, Kavitha",1,0,0,1,1,2026-03-23 00:00:00,2026-03-23 00:00:00,,2026-03-09 00:00:00,14,14,1,0,0,0,0,13,2026-07-10 00:00:00
Rochester Primary Care,52b21544-4438-4ade-810b-2ce607128ed8,Kristen,Kristen Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Schwutke MD, Steffanie",1,0,0,1,1,2026-03-19 00:00:00,2026-03-19 00:00:00,,2026-01-20 00:00:00,58,58,0,1,0,0,0,13,2026-07-10 00:00:00
SOMERSET PEDIATRICS,eac89ac4-40e0-4d3a-b812-65771f67412f,Kristen,Kristen Jones,Pediatrician,Other Patient Referrer,Deterministically matched,Exact provider name,"Massarani MD, Tamer",1,0,0,1,1,2026-02-27 00:00:00,2026-02-27 00:00:00,,2026-02-24 00:00:00,3,3,1,0,0,0,0,13,2026-07-10 00:00:00
"SOUTH EAST MICHIGAN MEDICAL ASSOCIATES, PC",84cae8c7-dbdf-450b-836e-557d4c653f98,Kristen,Kristen Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Mohammed MD, Abu Fazal Shaik",1,0,0,1,1,2026-06-16 00:00:00,2026-06-16 00:00:00,,2026-06-01 00:00:00,15,15,1,0,0,0,0,13,2026-07-10 00:00:00
SOUTHFIELD URGENT CARE,f8db03fe-3188-4a31-b4ee-6010086c7552,Jasmine,Jasmine Jones,Urgent care,Other Patient Referrer,Deterministically matched,Exact company name,Southfield Urgent Care,1,0,0,1,1,2026-06-08 00:00:00,2026-06-08 00:00:00,,2026-03-13 00:00:00,87,87,0,0,1,0,0,13,2026-07-10 00:00:00
WARREN PODIATRY,4d38264b-b17e-42b4-9043-92ff06e62c09,Coty,Coty Oetjens,Podaitry,Other Patient Referrer,Deterministically matched,Exact provider name + referral PL owner,"Mauro DPM, Gary",1,0,0,1,1,2026-06-23 00:00:00,2026-06-23 00:00:00,,2026-04-16 00:00:00,68,68,0,0,1,0,0,13,2026-07-10 00:00:00
"WESTERN WAYNE PHYSICIANS, PLC Allen Park",300beedb-7326-44cf-8008-29d60d8d78bb,Kristen,Kristen Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Nester MD, Patricia",1,0,0,1,1,2026-02-10 00:00:00,2026-02-10 00:00:00,,2026-02-03 00:00:00,7,7,1,0,0,0,0,13,2026-07-10 00:00:00
"WILLIAMS FAMILY AND SPORTS MEDICAL CENTER, PLC",128e9f0f-8074-4052-b91d-e71905388022,Kristen,Kristen Jones,Sports Medicine;Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Unique provider first + last,"Williams DO, Joseph L",1,0,0,1,1,2026-06-04 00:00:00,2026-06-04 00:00:00,,2026-05-11 00:00:00,24,24,1,0,0,0,0,13,2026-07-10 00:00:00
"Timing definition: for each distinct patient, the workbook uses the earlier supplied appointment date and finds the latest completed MMC company visit on or before that date. The difference is labeled visit-to-first-appointment lag because the export does not contain an actual referral-created date. A short lag is context, not proof of causation.",,,,,,,,,,,,,,,,,,,,,,,,,,
